WC_Location,WorkCenter,Date_Wrk,Shift_Wrk,Part_Num,unitperHr,cycle_time(mins),UpQty,scrap,schMins,PlannedDownMins,stopTime,ExpectedRun,ActualRunTime,OEEAvailability,ActualPerformance,ExpectedPerformance,OEEPerformance,OEEQuality
Mytox 1,"103-RLFRM,007,2""",2023-03-31 00:00:00,1,F3SLU010,175.00,0.34,625,14,135,30,0,105,105,1,625,308.8235294117647,2.0238095238095237,0.9776
Mytox 1,"103-RLFRM,007,2""",2023-03-31 00:00:00,2,F8DLU000,125.00,0.48,310,2,150,15,0,135,135,1,310,281.25,1.1022222222222222,0.9935483870967742
Mytox 1,116-HONDA PROJ WELD-LWR STAYS,2023-03-31 00:00:00,2,H1CBU002,88.00,0.68,1054,4,480,30,60,400,340,0.85,1054,499.99999999999994,2.108,0.9962049335863378
Mytox 1,116-HONDA PROJ WELD-LWR STAYS,2023-03-31 00:00:00,3,H1CBU002,88.00,0.68,1104,4,480,15,30,415,385,0.927710843373494,1104,566.1764705882352,1.949922077922078,0.9963768115942029
Mytox 1,117-HONDA PROJ WELD-UPR & LATC,2023-03-31 00:00:00,2,H1CBC002,88.00,0.68,1004,0,480,30,0,400,400,1,1004,588.2352941176471,1.7067999999999999,1
Mytox 1,117-HONDA PROJ WELD-UPR & LATC,2023-03-31 00:00:00,3,H1CBC002,88.00,0.68,650,0,480,0,264.6,430,165.39999999999998,0.3846511627906976,650,243.23529411764702,2.6723095525997587,1
Mytox 1,128-RLFRM - T1XX P375 FRAME RAILS,2023-03-31 00:00:00,2,J96RU200,218.00,0.28,2180,20,480,270,30,160,130,0.8125,2180,464.2857142857142,4.695384615384616,0.9908256880733946
Mytox 1,132-NISSAN H61P WELD CELL,2023-03-31 00:00:00,1,DDSMU702,41.00,1.46,222,0,480,30,0,400,400,1,222,273.972602739726,0.8103,1
Mytox 1,132-NISSAN H61P WELD CELL,2023-03-31 00:00:00,1,N14GR242,46.00,1.3,242,2,120,0,0,120,120,1,242,92.3076923076923,2.6216666666666666,0.9917355371900827
Mytox 1,132-NISSAN H61P WELD CELL,2023-03-31 00:00:00,1,N15GL242,46.00,1.3,194,2,120,19.8,0,100.2,100.2,1,194,77.07692307692308,2.516966067864271,0.9896907216494846
Mytox 1,132-NISSAN H61P WELD CELL,2023-03-31 00:00:00,2,N14GR242,46.00,1.3,146,2,90,0,0,90,90,1,146,69.23076923076923,2.108888888888889,0.9863013698630136
Mytox 1,132-NISSAN H61P WELD CELL,2023-03-31 00:00:00,2,N15GL242,46.00,1.3,388,4,390,30,30,310,280,0.9032258064516129,388,215.3846153846154,1.8014285714285714,0.9896907216494846
